alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity,quality
9.0,0.054,0.34,1.0008,7.6,44.0,3.22,18.35,0.550000011920929,197.0,0.32,5
12.2,0.063,0.49,0.9911,6.3,35.0,3.38,1.2,0.41999998688697815,92.0,0.27,6
11.2,0.029,0.11,0.99076,5.3,6.0,3.51,1.1,0.47999998927116394,51.0,0.43,4
9.0,0.11,0.27,0.99672,6.6,20.0,3.08,10.7,0.4099999964237213,103.0,0.41,6
12.0,0.035,0.3,0.99016,5.9,57.0,3.09,3.8,0.3400000035762787,135.0,0.34,6
10.3,0.055,0.39,0.99652,7.0,42.0,3.37,7.5,0.5400000214576721,218.0,0.31,5
10.7,0.054,0.35,0.99178,7.3,31.0,3.18,1.6,0.4699999988079071,148.0,0.28,5
10.4,0.053,0.31,0.99587,7.1,32.0,3.31,7.4,0.5899999737739563,211.0,0.2,6
8.6,0.041,0.62,0.9976,7.2,70.0,3.08,10.8,0.49000000953674316,189.0,0.4,4
11.9,0.034,0.36,0.99085,7.3,30.0,3.25,2.1,0.4000000059604645,177.0,0.25,8
9.8,0.06,0.45,0.99711,6.2,22.0,3.31,10.4,0.5600000023841858,184.0,0.36,6
12.1,0.036,0.49,0.99,7.8,20.0,3.05,1.2,0.2800000011920929,99.0,0.21,7
9.8,0.053,0.26,0.99699,7.4,55.0,3.11,11.8,0.6000000238418579,173.0,0.27,5
9.7,0.039,0.24,0.9958,6.3,38.0,3.49,7.2,0.6399999856948853,172.0,0.26,6
12.3,0.033,0.26,0.99076,7.6,26.0,2.98,4.8,0.49000000953674316,76.0,0.2,7
10.5,0.036,0.14,0.99212,4.7,69.0,3.47,1.3,0.46000000834465027,168.0,0.335,5
10.8,0.026,0.56,0.9906,5.0,24.0,3.48,1.5,0.38999998569488525,115.0,0.17,7
12.4,0.033,0.49,0.9931,7.7,42.0,3.14,8.65,0.3799999952316284,186.0,0.35,8
11.7,0.036,0.42,0.9939,8.4,7.0,3.16,5.1,0.5199999809265137,77.0,0.18,5
12.8,0.03,0.29,0.9911,8.2,31.0,3.0,4.1,0.3199999928474426,100.0,0.42,7
